id,text,file,node,lineNumber
line:01b3570,Reimu Hakurei: All those smells... How could you survive with that?,Mystia,Mystia,4
line:05da989,Reimu Hakurei: I'm disgusted now!,Mystia,Mystia,6
line:086e763,Mystia Lorelei: Hey! Don't judge my food before eating it!,Mystia,Mystia,8
line:07175d0,Reimu Hakurei: No thanks,Mystia,Mystia,10
line:0b34739,Mystia Lorelei: I have never tasted you but today you taste pretty sour,Mystia,Mystia,12
line:0f8465d,Mystia Lorelei: Let us have fun!,Mystia,Mystia,14
line:006359d,Reimu Hakurei: Me? Sour? I will show you what's sour!,Mystia,Mystia,16
line:03d97a7,"Mystia Lorelei: So you want fight, heh?",Mystia,Mystia,18
line:0e03b49,Mystia Lorelei: It's a story about a sparrow and an angry shrine maiden ♫,Mystia,Mystia,20
line:0392712,"Reimu Hakurei: You drive me crazy, I will make you eat your words...",Mystia,Mystia,22
