id,text,file,node,lineNumber
line:04cf446,NPC: Oh noes! Let me have fun!,NPC,NPC,5
line:0cdcea2,NPC: What a big ball? Have I drunk this much?,NPC,NPC,9
line:06a58b4,NPC: AAaaaah! Ruun!,NPC,NPC,13
line:0c7450c,NPC: What's wrong with you?,NPC,NPC,17
line:0ef85d9,NPC: I just wanted to have some fun! I'm out!,NPC,NPC,21
line:0320d07,NPC: Oof!,NPC,NPC,25
line:0f3f302,NPC: Oh come on! I have invested so much in that festival!,NPC,NPC,29
line:0c0eb5f,"NPC: Guess the party is over, now!",NPC,NPC,33
line:0590790,NPC: Let me go! Let me go!,NPC,NPC,37
line:03aa523,NPC: Leave me alone!,NPC,NPC,41
line:0b34133,"NPC: Oow, that hurts like a hungover...",NPC,NPC,45
line:010e311,"NPC: My noodles! Oh my god, my noodles...",NPC,NPC,49
