id,text,file,node,lineNumber
line:0d3579c,Suika Ibuki: Hooooï! You hothead! Come play a lil'!,Suika,Suika,4
line:0f7205b,Reimu Hakurei: No thank you,Suika,Suika,6
line:0f7593b,Suika Ibuki: I knew you don't know how to have fuuun!,Suika,Suika,8
line:06eb0ca,Reimu Hakurei: Don't. Begin.,Suika,Suika,10
line:09ea568,"Suika Ibuki: It's you who's stopping the fun, ya know? You began!",Suika,Suika,12
line:078dfca,Reimu Hakurei: Shhhh... How come you are so annoying...,Suika,Suika,14
line:099a25c,"Suika Ibuki: Heh, that's not me who is ruining the mood!",Suika,Suika,16
line:00299c9,Suika Ibuki: Hahahahahah!,Suika,Suika,18
line:0678e1c,Reimu Hakurei: You deserved it!,Suika,Suika,20
line:078d2c1,"Suika Ibuki: Come, I wait for ya!",Suika,Suika,22
line:032a710,"Reimu Hakurei: Don't wait for me, I will be here soon enough...",Suika,Suika,24
