id,text,file,node,lineNumber
line:02b2353,Yukari Yakumo: Oh Hello there,Yukari,Yukari,4
line:09fa871,Reimu Hakurei: Lady Yakumo...,Yukari,Yukari,6
line:00e0af8,Reimu Hakurei: I'm pretty sure you are behind this party...,Yukari,Yukari,8
line:02148a9,"Yukari Yakumo: That's right. So much fun, right?",Yukari,Yukari,10
line:07b4a16,"Reimu Hakurei: I will stop you, you are annoying me for way too long...",Yukari,Yukari,12
line:0a4ea58,"Yukari Yakumo: You may yeet more yankees, but may I use your ball?",Yukari,Yukari,14
line:024aba6,"Yukari Yakumo: An alliteration, or sound combo for you.",Yukari,Yukari,16
line:080c78b,"Yukari Yakumo: Since you do neat combos with your balls, I can do the same with words",Yukari,Yukari,18
line:043b4e0,Yukari Yakumo: Right?,Yukari,Yukari,20
line:05d4cef,Reimu Hakurei: Heh... Come and taste my ball!,Yukari,Yukari,22
line:088d7b5,"Yukari Yakumo: Your ball... A rock, a stone, a dust... Let me show it to you.",Yukari,Yukari,24
line:0a1dd8a,Yukari Yakumo: gradation now!,Yukari,Yukari,26
line:0381a8c,Yukari Yakumo: I will happily continue to play with you!,Yukari,Yukari,28
line:00a525f,Reimu Hakurei: You won't stop me! It's over now!,Yukari,Yukari,30
line:08a51ec,"Yukari Yakumo: You are an annoying fun, you know!",Yukari,Yukari,32
line:08fc708,Yukari Yakumo: Oxymore!,Yukari,Yukari,34
line:07a1c94,Reimu Hakurei: Darn! Stop it with your word combos!,Yukari,Yukari,36
line:044966e,Reimu Hakurei: Taste my ball combos instead!,Yukari,Yukari,38
