id,text,file,node,lineNumber
line:05ab207,"Reimu Hakurei: Well, well, well... I'm not surprised to find you here",Yuyuko,Yuyuko,4
line:00f29be,"Reimu Hakurei: Even if you're not a ghost, you should watch your weight",Yuyuko,Yuyuko,6
line:0c1c0de,"Yuyuko Saigyouji: Oh, hello there! I appreciate your concern!",Yuyuko,Yuyuko,8
line:007f85a,"Yuyuko Saigyouji: Don't worry, I'll be fine.",Yuyuko,Yuyuko,10
line:0aec1fc,"Yuyuko Saigyouji: You should watch yourself, always crisped...",Yuyuko,Yuyuko,12
line:04a6fb0,Reimu Hakurei: For what reason! This night has been a pain...,Yuyuko,Yuyuko,14
line:0a00f53,"Reimu Hakurei: I cannot sleep, this festival has gone throughout all the night!",Yuyuko,Yuyuko,16
line:0215cb4,Yuyuko Saigyouji: Then you should have played with us all long!,Yuyuko,Yuyuko,18
line:03681bf,Reimu Hakurei: I need sleep to protect Gensokyo.,Yuyuko,Yuyuko,20
line:0ca89af,Yuyuko Saigyouji: You should protect your mood!,Yuyuko,Yuyuko,22
line:04c6bf7,"Reimu Hakurei: Thank you, but I won't protect Gensokyo out of sheer happiness",Yuyuko,Yuyuko,24
line:00b5e9c,"Yuyuko Saigyouji: Too bad. I still want to have some fun, though.",Yuyuko,Yuyuko,26
line:0d8cf83,Yuyuko Saigyouji: I can't let you stop this festival yet.,Yuyuko,Yuyuko,28
line:05aff3e,"Reimu Hakurei: I will try, nonetheless.",Yuyuko,Yuyuko,30
